name,author,narrator,time,releasedate,language,stars,price,ratings
Barbie - La puerta secreta,"Mattel,NicolásOluchaSánchez",BeatrizOlcina,11,2021-11-29,spanish,0.0,38.0,0.0
A scuola con Pongo e Tim: Henry Every,GiuliaSegreti,"GiuliaSegreti,MarcoCognigni",11,2022-09-02,italian,0.0,75.0,0.0
Black Panther: Spellbound,RonaldL.Smith,DionGraham,338,2022-01-02,English,0.0,469.0,0.0
"The 39 Clues: Unstoppable, Book 3",NatalieStandiford,DavidPittu,289,2014-01-05,English,4.5,410.0,2.0
Hello Kitty - El Club de la Amistad,"Sanrio,NeusCasanovaVico",EvaAndrés,42,2021-10-11,spanish,0.0,76.0,0.0
Treasure Island,RobertLouisStevenson,SamTaylor,404,2019-06-09,English,4.0,32.0,4.0
The Human Body,Ladybird,BenBaileySmith,43,2020-09-17,English,0.0,410.0,0.0
Minecraft: The Dragon,NickyDrayden,NicoleLewis,411,2021-06-07,English,5.0,1005.0,1.0
The Christmasaurus and the Naughty List,"TomFletcher,ShaneDevries-illustrator","PaulShelley,TomFletcher",375,2021-10-14,English,0.0,615.0,0.0
Das Exil,"ShannonMessenger,DorisAttwood-Übersetzer",DavidNathan,945,2021-10-25,german,0.0,468.0,0.0
El Cerdito de Navidad [The Christmas Pig],J.K.Rowling,CristinaTenorio,438,2021-12-10,spanish,0.0,799.0,0.0
Big Change for Stuart,LissaEvans,LissaEvans,312,2021-01-09,English,0.0,664.0,0.0
The Imagination Box: Beyond Infinity,MartynFord,JoshuaMcGuire,301,2021-09-28,English,0.0,569.0,0.0
Camp Daze,R.L.Stine,"JamesMurray,KirbyHeyborne,InésdelCastillo,",180,2021-12-10,English,0.0,585.0,0.0
Vaiana,"Disney,ÅsaMalm",LisaAhnlund,175,2021-10-28,swedish,0.0,166.0,0.0
Myth of the Rain Forest Monster,GertrudeChandlerWarner,AimeeLilly,106,2021-01-09,English,0.0,234.0,0.0
Little Badman and the Time-travelling Teacher of Doom,"HumzaArshad,HenryWhite",HumzaArshad,335,2020-08-21,English,0.0,615.0,0.0
The Great Dream Robbery,"GregJames,ChrisSmith","GregJames,ChrisSmith",348,2021-09-16,English,0.0,410.0,0.0
Barbie - Superprincesa,"Mattel,NicolásOluchaSánchez",BeatrizOlcina,26,2021-10-15,spanish,0.0,38.0,0.0
Barbie - El campamento de princesas,Mattel,VanessaPérezJurado,33,2022-07-03,spanish,0.0,38.0,0.0
Barbie - Dreamtopia,Mattel,VanessaPérezJurado,21,2022-07-03,spanish,0.0,38.0,0.0
Barbie - Superprincesa,Mattel,VanessaPérezJurado,29,2022-07-03,spanish,0.0,38.0,0.0
Among Us Book - Red Diary,ZeekidMedia,TommyJay,79,2021-06-16,English,0.0,204.0,0.0
We’re Going to Find the Monster,"MalorieBlackman,DapoAdeola",MalorieBlackman,6,2021-10-28,English,0.0,410.0,0.0
Ut i det vilda,ErinHunter,MattiasLinderoth,495,2021-08-26,swedish,0.0,568.0,0.0
The Imagination Box: A Mind of Its Own,MartynFord,JoshuaMcGuire,377,2021-09-28,English,0.0,569.0,0.0
